var,name,hemi,cog,cog2,sys,region_ggseg,region,python-ggseg
cuneusrh,Cuneus,right,visual processing,,sensory/motor,cuneus,cuneus,
df,Default Mode Network,NA,memory,social,triple network,default mode network,default mode network,
dt,Default Mode Network,NA,memory,social,triple network,default mode network,default mode network,
dla,Dorsal Attention Network,NA,executive function,attention,executive function,dorsal attention network,dorsal attention network,
dsa,Dorsal Attention Network,NA,executive function,attention,executive function,dorsal attention network,dorsal attention network,
dlprefrlh,Dorsal Prefrontal Cortex,left,executive function,,triple network,dorsal prefrontal cortex,dorsal prefrontal cortex,
dlprefrrh,Dorsal Prefrontal Cortex,right,executive function,,triple network,dorsal prefrontal cortex,dorsal prefrontal cortex,
dmfrlh,Dorsomedial Frontal Cortex,left,mentalizing,,,dorsomedial frontal cortex,dorsomedial frontal cortex,
dmfrrh,Dorsomedial Frontal Cortex,right,mentalizing,,,dorsomedial frontal cortex,dorsomedial frontal cortex,
ehinallh,Entorhinal Cortex,left,memory,,medial temporal lobe,entorhinal cortex,entorhinal,
ehinalrh,Entorhinal Cortex,right,memory,,medial temporal lobe,entorhinal cortex,entorhinal,
entorhinallh,Entorhinal Cortex,left,memory,,medial temporal lobe,entorhinal cortex,entorhinal,
entorhinalrh,Entorhinal Cortex,right,memory,,medial temporal lobe,entorhinal cortex,entorhinal,
erlh,Entorhinal Cortex,left,memory,,medial temporal lobe,entorhinal cortex,entorhinal,
errh,Entorhinal Cortex,right,memory,,medial temporal lobe,entorhinal cortex,entorhinal,
n,Extra-Network,NA,,,,extra-network,extra-network,
none,Extra-Network,NA,,,,extra-network,extra-network,
fmaj,Forceps Major,NA,visual processing,,visual,forceps major,forceps major,Forceps major
fmin,Forceps Minor,NA,motor,,sensory/motor,forceps minor,forceps minor,Forceps minor
fxlh,Fornix,left,memory,,medial temporal lobe,fornix,fornix,
fxrh,Fornix,right,memory,,medial temporal lobe,fornix,fornix,
fxcutlh,Fornix (excluding Fimbria),left,memory,,medial temporal lobe,fornix (excluding fimbria),fornix (excluding fimbria),
fxcutrh,Fornix (excluding Fimbria),right,memory,,medial temporal lobe,fornix (excluding fimbria),fornix (excluding fimbria),
fplh,Frontal Pole,left,executive function,emotion,executive function,frontal pole,frontal pole,
fpolelh,Frontal Pole,left,executive function,emotion,executive function,frontal pole,frontal pole,
fpolerh,Frontal Pole,right,executive function,emotion,executive function,frontal pole,frontal pole,
fprh,Frontal Pole,right,executive function,emotion,executive function,frontal pole,frontal pole,
frpolelh,Frontal Pole,left,executive function,emotion,executive function,frontal pole,frontal pole,
frpolerh,Frontal Pole,right,executive function,emotion,executive function,frontal pole,frontal pole,
fo,Frontoparietal Network,NA,executive function,emotion,triple network,frontoparietal network,frontoparietal network,
fopa,Frontoparietal Network,NA,executive function,emotion,triple network,frontoparietal network,frontoparietal network,
